date,ticker,open,high,low,close,volume,market_cap,pe_ratio,sector
2015-01-01,AAPL,212.76,218.32,209.67,212.34,4496915.0,455143754049422.9,11.03,Semiconductors
2015-01-02,AAPL,210.72,214.66,207.04,211.23,1933476.0,185423585269176.97,11.03,Technology
2015-01-03,AAPL,209.93,215.3,204.85,210.3,1555944.0,324823929963194.06,39.62,Technology
2015-01-04,AAPL,209.62,215.6,208.76,209.18,1952389.0,511792217157044.0,25.23,Semiconductors
2015-01-07,AAPL,210.05,211.45,200.65,206.58,7895164.0,203433565229964.75,29.43,Technology
2015-01-08,AAPL,210.65,214.18,204.88,210.33,1908557.0,508451652489164.94,13.73,Technology
2015-01-10,AAPL,205.99,209.18,204.17,207.02,9817204.0,397531620226565.3,54.36,Technology
2015-01-15,AAPL,199.92,203.08,198.66,200.4,6408434.0,520330087511069.6,10.35,Semiconductors
2015-01-16,AAPL,190.86,192.92,189.96,190.47,4618210.0,186223596213039.6,35.94,Consumer
2015-01-17,AAPL,190.51,192.09,187.5,190.47,13309102.0,170482803398356.1,24.24,Technology
2015-01-18,AAPL,189.14,190.86,186.74,187.43,2120984.0,136069203195070.44,17.24,Technology
2015-01-20,AAPL,195.36,200.29,189.61,193.62,13155174.0,109392839390036.22,12.04,Technology
2015-01-22,AAPL,202.1,203.8,201.46,202.93,2783062.0,535850276151932.5,22.9,Semiconductors
2015-01-23,AAPL,207.69,209.35,201.92,207.59,5534147.0,558446288665590.6,55.02,Semiconductors
2015-01-26,AAPL,205.79,209.45,201.56,207.81,12299948.0,463467678750904.8,42.48,Technology
2015-01-27,AAPL,208.86,211.3,202.26,206.88,8373107.0,152827041493021.94,42.48,Semiconductors
2015-01-28,AAPL,212.49,216.5,209.67,213.18,2572543.0,313252686426621.7,19.76,Semiconductors
2015-01-30,AAPL,209.86,215.26,205.35,209.85,6853985.0,240338498436138.1,19.76,Semiconductors
2015-01-31,AAPL,204.75,210.67,201.99,206.3,1957218.0,59807777854196.64,40.75,Consumer
2015-02-01,AAPL,209.48,213.96,205.19,209.29,3441303.0,183764699403985.25,50.47,Technology
2015-02-02,AAPL,211.41,214.7,208.29,209.73,4227864.0,183764699403985.25,45.1,Consumer
2015-02-03,AAPL,209.93,210.87,207.15,210.09,3898806.0,22913216393115.46,33.28,Semiconductors
2015-02-04,AAPL,204.27,204.7,200.75,201.99,4672965.0,220458937041674.97,33.28,Consumer
2015-02-05,AAPL,208.5,210.93,202.56,210.2,3717459.0,334354256942310.5,37.03,Technology
2015-02-06,AAPL,216.94,219.19,213.48,214.97,7487653.0,174759796704156.03,31.95,Technology
2015-02-07,AAPL,210.59,212.33,207.56,210.52,17215173.0,454491932642921.4,43.01,Semiconductors
2015-02-08,AAPL,213.96,215.71,208.95,213.14,17044719.0,485404691187757.75,10.72,Consumer
2015-02-09,AAPL,210.92,215.73,205.65,212.6,21252937.0,276871272488650.72,29.93,Consumer
2015-02-10,AAPL,216.61,222.23,213.27,218.05,12277314.0,561719031603805.06,42.93,Consumer
2015-02-11,AAPL,218.24,223.68,214.15,219.79,3474275.0,420536517414977.44,42.93,Technology
2015-02-12,AAPL,220.13,228.73,214.78,222.66,3509458.0,46114569207691.83,42.93,Technology
2015-02-14,AAPL,224.26,229.71,218.74,223.62,13971781.0,118665141493241.92,47.53,Technology
2015-02-15,AAPL,216.67,222.74,213.7,214.8,964562.0,277444498250495.8,47.54,Technology
2015-02-16,AAPL,215.69,221.08,209.56,213.99,4246573.0,574852787820083.2,47.54,Consumer
2015-02-17,AAPL,214.9,218.69,212.39,214.9,1770735.0,286653679068753.3,24.66,Technology
2015-02-18,AAPL,218.77,224.17,212.79,218.94,987902.0,322968507631913.3,12.88,Consumer
2015-02-22,AAPL,206.3,209.45,197.02,203.04,15713523.0,287820408065860.8,12.82,Technology
2015-02-23,AAPL,209.73,213.82,205.18,211.31,7066409.0,545622843873700.56,21.18,Semiconductors
2015-02-24,AAPL,211.77,215.38,207.53,207.92,8740730.0,329185280413891.4,41.47,Consumer
2015-02-25,AAPL,208.67,214.33,202.51,208.49,20998614.0,175584726649857.2,57.52,Semiconductors
2015-02-26,AAPL,208.28,209.62,203.44,206.86,8678064.0,220395205068501.7,39.18,Technology
2015-02-27,AAPL,201.95,203.1,200.71,201.43,4697196.0,495262585187790.3,57.49,Consumer
2015-03-01,AAPL,204.09,211.75,202.93,206.5,1091053.0,287756413247596.25,30.74,Semiconductors
2015-03-02,AAPL,205.73,211.9,205.28,205.51,3092576.0,340407683401000.6,48.45,Consumer
2015-03-04,AAPL,200.87,205.57,197.27,200.26,2412407.0,511798224175183.9,37.6,Semiconductors
2015-03-05,AAPL,203.55,203.92,200.81,202.45,3859654.0,511798224175183.9,45.2,Consumer
2015-03-06,AAPL,200.44,205.45,196.71,201.8,2321424.0,265759374766451.7,55.21,Semiconductors
2015-03-07,AAPL,204.35,208.24,201.77,202.78,372925.0,578832522762836.8,17.35,Technology
2015-03-09,AAPL,201.31,202.4,196.08,201.31,3031888.0,390012914060219.3,19.09,Technology
2015-03-10,AAPL,205.5,207.53,200.48,206.29,2444393.0,25405681948320.49,19.09,Technology
2015-03-11,AAPL,200.98,204.0,196.15,201.11,1869112.0,221586080705166.9,35.17,Semiconductors
2015-03-12,AAPL,203.55,204.24,201.91,202.86,3409697.0,558999430323269.0,13.05,Technology
2015-03-13,AAPL,206.52,207.98,200.27,204.2,1757910.0,298814010037996.2,40.91,Consumer
2015-03-15,AAPL,199.54,201.49,195.11,199.88,3539451.0,298814010037996.2,11.0,Technology
2015-03-16,AAPL,195.32,200.56,192.01,194.5,1699129.0,399359032613563.9,49.46,Technology
2015-03-19,AAPL,194.97,196.88,190.1,195.07,1748042.0,528128725654413.6,49.46,Consumer
2015-03-21,AAPL,185.75,189.92,183.26,186.72,1919201.0,155630333018183.6,48.47,Consumer
2015-03-22,AAPL,183.03,184.8,178.15,183.33,1200145.0,335857915125695.6,24.43,Technology
2015-03-24,AAPL,178.35,181.89,175.44,178.63,6991817.0,219666623115287.7,27.44,Consumer
2015-03-26,AAPL,175.26,179.58,173.38,175.26,5887420.0,276968053090249.7,27.44,Semiconductors
2015-03-28,AAPL,172.06,174.94,169.67,170.3,3321919.0,319737954517366.94,15.84,Semiconductors
2015-03-29,AAPL,170.69,174.79,167.98,170.02,5774352.0,274160911799398.88,54.69,Semiconductors
2015-03-30,AAPL,169.17,172.99,164.05,168.95,4895468.0,290389385088410.0,48.12,Semiconductors
2015-03-31,AAPL,169.88,174.22,163.07,167.48,7490444.0,201284700934934.6,49.86,Technology
2015-04-01,AAPL,168.29,171.59,166.63,168.29,1881075.0,272875819206379.75,22.59,Semiconductors
2015-04-04,AAPL,164.53,169.03,161.62,165.94,5086582.0,366096178160376.9,56.72,Semiconductors
2015-04-05,AAPL,164.19,171.3,159.86,167.07,7138928.0,457115136084683.4,53.49,Semiconductors
2015-04-06,AAPL,172.73,174.58,170.38,171.53,5520354.0,2577351510456.57,26.67,Technology
2015-04-09,AAPL,170.73,172.95,163.36,167.98,5480294.0,505931024215280.06,35.11,Consumer
2015-04-10,AAPL,168.0,172.54,162.19,166.19,3795347.0,95761238169427.56,11.83,Consumer
2015-04-11,AAPL,173.42,178.4,170.85,175.91,1080457.0,231422273754573.88,30.04,Semiconductors
2015-04-12,AAPL,170.2,177.44,166.94,172.53,4007594.0,139250047332722.52,42.2,Semiconductors
2015-04-13,AAPL,169.05,174.4,164.11,170.96,3049262.0,113486489906677.72,21.55,Semiconductors
2015-04-14,AAPL,169.48,172.45,164.88,171.1,2869518.0,124567297562781.77,46.11,Technology
2015-04-15,AAPL,171.0,173.11,167.32,171.92,4209083.0,460773519257580.94,10.65,Semiconductors
2015-04-16,AAPL,167.55,169.38,163.54,167.3,19090224.0,189473870121871.72,10.65,Consumer
2015-04-17,AAPL,168.26,171.04,164.65,168.74,795698.0,479629686710733.8,48.18,Technology
2015-04-18,AAPL,172.59,172.88,167.51,171.31,3169364.0,278849707810493.72,41.67,Technology
2015-04-19,AAPL,170.83,174.11,166.56,171.33,2151889.0,138746752865735.34,10.92,Technology
2015-04-20,AAPL,164.94,169.4,160.98,165.26,5676603.0,5598074708649.62,16.84,Consumer
2015-04-22,AAPL,168.95,171.03,164.12,167.75,3987034.0,180015414150023.53,16.84,Consumer
2015-04-23,AAPL,170.32,175.78,168.83,170.96,566043.0,110011020527844.22,11.56,Technology
2015-04-25,AAPL,172.91,175.94,168.96,173.58,2338798.0,424957967923002.06,49.97,Semiconductors
2015-04-26,AAPL,169.9,170.52,168.55,169.12,8281068.0,69755499607358.77,49.97,Semiconductors
2015-04-27,AAPL,165.75,170.56,164.65,166.85,2607114.0,327366108491595.25,44.61,Consumer
2015-04-28,AAPL,164.28,169.15,162.96,163.39,6156023.0,19592516385271.31,45.28,Technology
2015-04-29,AAPL,165.23,169.05,164.7,167.44,3737201.0,485864844769694.8,57.21,Semiconductors
2015-04-30,AAPL,171.39,175.68,164.69,169.6,3016428.0,304559547120823.06,21.5,Consumer
2015-05-02,AAPL,170.13,170.42,168.03,168.83,4338469.0,10996716536334.64,53.74,Semiconductors
2015-05-03,AAPL,172.99,175.62,171.65,173.68,3426388.0,207459535332516.1,33.99,Consumer
2015-05-04,AAPL,176.56,178.88,172.67,175.8,4474306.0,386979948047978.4,21.94,Technology
2015-05-06,AAPL,168.57,173.38,165.82,167.02,977353.0,45208006060726.45,30.88,Technology
2015-05-08,AAPL,169.01,170.24,167.76,169.16,3519969.0,178790605329734.8,12.89,Semiconductors
2015-05-10,AAPL,176.52,181.19,170.9,174.8,8350552.0,68630897626361.34,54.44,Semiconductors
2015-05-11,AAPL,178.2,180.49,173.16,176.55,9661018.0,138854280467811.77,46.17,Consumer
2015-05-12,AAPL,174.4,176.58,173.47,176.02,3242067.0,260600188358319.28,34.03,Semiconductors
2015-05-13,AAPL,178.69,183.0,174.71,179.87,4607219.0,472466345565136.5,34.03,Semiconductors
2015-05-14,AAPL,183.64,188.28,181.27,183.06,4983708.0,372025588588776.94,40.93,Consumer
2015-05-15,AAPL,181.6,181.94,180.46,181.56,5285945.0,69833174597743.33,26.76,Semiconductors
2015-05-16,AAPL,179.17,182.04,173.83,179.22,5362578.0,153440421159070.88,40.85,Consumer
2015-05-18,AAPL,179.38,185.49,174.53,180.43,3429599.0,505980062867819.4,44.39,Technology
2015-05-19,AAPL,180.15,183.37,174.3,177.85,2181087.0,505980062867819.4,12.29,Technology
2015-05-20,AAPL,178.92,180.78,176.09,178.92,1932247.0,417544604096060.94,44.16,Semiconductors
2015-05-23,AAPL,174.07,178.82,173.36,176.55,17195133.0,120763936283394.8,20.66,Technology
2015-05-24,AAPL,174.69,179.02,174.35,176.42,2598896.0,97624575999611.42,53.43,Technology
2015-05-25,AAPL,178.65,182.07,173.69,178.36,6733058.0,17484948621054.16,56.04,Technology
2015-05-26,AAPL,181.41,182.25,178.26,180.08,5343570.0,234368958535198.0,20.03,Semiconductors
2015-05-27,AAPL,179.4,183.73,174.54,178.28,3222638.0,244696425707107.2,10.58,Technology
2015-05-28,AAPL,178.53,180.65,176.77,178.96,1642681.0,460885065326119.4,48.99,Semiconductors
2015-05-30,AAPL,178.55,182.57,173.65,179.69,19416331.0,189791352504438.88,48.99,Semiconductors
2015-05-31,AAPL,178.47,183.82,177.26,180.04,1572414.0,108100180431101.44,18.37,Technology
2015-06-01,AAPL,181.48,186.59,173.94,179.04,1471002.0,293581010671375.75,45.45,Consumer
2015-06-02,AAPL,183.17,187.68,176.47,181.49,6461971.0,488780724878290.1,37.38,Consumer
2015-06-04,AAPL,179.19,181.96,176.25,178.73,1925510.0,384453270026913.6,21.42,Consumer
2015-06-07,AAPL,173.42,177.99,171.93,172.6,24196948.0,218522303632503.7,23.84,Semiconductors
2015-06-08,AAPL,174.17,179.0,172.65,175.61,3910886.0,69297470315448.2,45.79,Technology
2015-06-10,AAPL,172.27,175.74,170.38,174.26,4498359.0,168542322368022.1,45.79,Semiconductors
2015-06-11,AAPL,166.43,169.43,163.06,166.75,2489528.0,417438249799586.56,31.54,Technology
2015-06-12,AAPL,170.57,171.57,163.86,168.74,812607.0,375325367670658.5,43.19,Semiconductors
2015-06-13,AAPL,174.7,179.27,169.75,173.93,2989083.0,58453958486226.08,23.49,Semiconductors
2015-06-14,AAPL,175.36,176.16,169.33,172.24,1643693.0,487043500123868.56,25.81,Consumer
2015-06-15,AAPL,170.84,178.76,165.74,173.72,3299533.0,491282971751835.75,41.96,Semiconductors
2015-06-17,AAPL,169.42,171.05,167.64,170.42,6226146.0,224859869726280.53,53.41,Technology
2015-06-18,AAPL,171.71,175.65,169.03,172.07,1306471.0,316190202069103.8,53.45,Consumer
2015-06-19,AAPL,170.68,174.2,165.84,169.87,3497288.0,334557185518492.06,29.69,Consumer
2015-06-20,AAPL,167.45,168.99,167.17,168.59,4397858.0,203868627738080.4,53.54,Technology
2015-06-21,AAPL,168.8,171.42,165.34,169.27,13731205.0,336520310237511.2,50.39,Consumer
2015-06-22,AAPL,170.01,172.08,167.59,171.31,6171157.0,3110154623339.89,26.23,Technology
2015-06-23,AAPL,167.02,169.36,162.16,166.0,631756.0,3110154623339.89,21.36,Semiconductors
2015-06-24,AAPL,167.49,169.91,164.14,167.32,1623157.0,432355824299327.1,35.95,Semiconductors
2015-06-27,AAPL,168.4,173.13,162.22,165.5,4838351.0,50953778740698.52,34.29,Technology
2015-06-28,AAPL,163.77,168.15,160.34,165.4,1221667.0,301093433052982.3,45.81,Semiconductors
2015-06-30,AAPL,162.4,167.17,161.32,164.7,1280513.0,269447048893733.75,12.17,Semiconductors
2015-07-01,AAPL,164.96,170.09,161.1,165.68,3757315.0,104853262185983.6,40.55,Consumer
2015-07-02,AAPL,169.42,170.75,166.36,167.59,2419559.0,138690287979183.8,51.13,Semiconductors
2015-07-04,AAPL,171.19,174.55,168.82,170.94,5145009.0,283127045217179.7,21.6,Semiconductors
2015-07-05,AAPL,177.16,179.79,175.42,178.9,606032.0,215000957421032.1,31.41,Technology
2015-07-06,AAPL,182.11,182.84,177.38,178.99,9860516.0,312983647190201.6,23.71,Technology
2015-07-07,AAPL,176.3,179.13,170.38,175.29,1605107.0,424579135041448.94,21.69,Consumer
2015-07-08,AAPL,180.69,182.57,176.6,180.27,3643818.0,424579135041448.94,59.71,Technology
2015-07-10,AAPL,179.39,181.91,176.37,177.81,6134343.0,187031698073940.53,43.25,Semiconductors
2015-07-11,AAPL,176.35,184.34,173.82,179.34,800391.0,448635272477042.1,36.05,Technology
2015-07-12,AAPL,176.14,180.54,172.67,173.94,4095268.0,372667865764569.94,11.81,Semiconductors
2015-07-13,AAPL,171.44,176.27,168.12,170.5,1342781.0,157699139667429.3,29.85,Consumer
2015-07-15,AAPL,178.63,182.98,177.32,178.59,10493879.0,162171850558225.06,29.85,Technology
2015-07-16,AAPL,174.23,179.33,171.05,173.02,2296700.0,428258030676955.25,16.63,Technology
2015-07-17,AAPL,182.26,185.1,176.8,180.12,2421407.0,79769005056952.2,28.38,Consumer
2015-07-18,AAPL,182.77,185.64,179.18,182.33,3450357.0,58178242704309.84,28.38,Consumer
2015-07-21,AAPL,178.47,180.85,173.46,178.13,8141094.0,473544051751805.3,32.49,Technology
2015-07-22,AAPL,176.15,181.57,174.8,177.61,1013538.0,6014155555852.74,30.81,Semiconductors
2015-07-23,AAPL,174.42,177.06,171.9,176.18,3219726.0,113290673201168.94,10.61,Technology
2015-07-24,AAPL,172.35,176.74,167.36,172.03,3169425.0,252288601679863.3,17.5,Technology
2015-07-25,AAPL,175.77,177.96,172.49,175.42,1379311.0,414185801066713.06,54.6,Semiconductors
2015-07-26,AAPL,179.3,183.85,173.48,178.64,1065737.0,485681360361395.25,33.07,Consumer
2015-07-27,AAPL,185.59,189.08,179.46,184.64,11011812.0,286461414500057.75,17.51,Technology
2015-07-28,AAPL,185.15,185.79,181.1,182.79,18294821.0,286461414500057.75,13.56,Semiconductors
2015-07-29,AAPL,181.14,185.58,179.18,181.33,11980744.0,101195823114655.22,18.71,Technology
