date,ticker,open,high,low,close,volume,market_cap,pe_ratio,sector
2040-12-08,AAPL,108.59,111.13,104.6,107.18,1508533,181681050675382.16,20.06,Semiconductors
2020-07-21,TSLA,122.78,126.47,121.91,123.13,2128205,44696599629642.15,58.64,Technology
2027-07-30,TSLA,343.03,348.43,333.75,339.75,,894844773668034.5,36.14,Consumer
2031-01-01,TSLA,747.68,768.12,741.79,750.66,6309411,752146846019540.5,15.89,Consumer
2037-05-02,AMZN,32.05,32.61,31.6,31.95,,86788697438247.22,28.8,Semiconductors
2018-12-22,NVDA,228.61,234.23,226.62,228.17,3202195,679748862084413.0,20.43,Technology
2028-10-11,AAPL,402.45,405.09,393.82,397.71,11753294,226310685228318.62,14.56,Consumer
2032-06-27,NVDA,1059.21,1087.88,1058.05,1070.06,12230244,2586022278536780.5,30.99,Technology
2040-11-26,AMD,3403.77,3525.33,3327.94,error,2641290,7093434291468310.0,29.57,Consumer
2016-11-08,INTC,361.11,370.42,359.63,360.38,,87813925394620.17,47.59,Consumer
2039-03-12,NVDA,5420.41,4100.52,5312.63,5411.2,13430871,1.2120340801826e+16,,Semiconductors
2032-01-18,GOOGL,3977.86,4091.83,3891.55,3969.42,368741,7348234151739665.0,22.57,Consumer
2019-12-04,,300.47,307.91,293.16,298.32,4978765,851838745965561.6,55.35,Semiconductors
2031-03-09,AMZN,90.98,92.51,88.46,91.69,3179582,221470851411464.6,11.95,Technology
2024-03-06,NVDA,1004.33,1031.68,992.28,,2080332,1336941930788226.8,15.99,Technology
2027-04-25,GOOGL,2616.52,1452.76,1381.97,1413.9,2006935,1111159277581908.9,57.14,Semiconductors
2027-02-14,MSFT,79.69,80.71,79.04,80.14,4449634,39670495410102.71,30.8,Semiconductors
2024-01-23,AMZN,51.73,52.98,49.72,51.21,8197544,22111908149783.7,36.15,Technology
2015-01-12,AMD,110.63,114.26,108.75,112.03,728977,128421996179068.97,17.38,Semiconductors
2026-08-02,GOOGL,942.97,966.83,923.73,936.75,13918487,1481789789654172.0,10.05,Technology
2023-01-03,TSLA,123.35,126.08,,125.59,11237454,285295844226433.5,57.35,Technology
2040-12-04,META,190.33,193.33,186.14,189.51,5109600,261572683656292.84,21.73,Technology
2030-11-14,AAPL,162.08,165.12,158.27,161.38,9017682,39455603597772.11,57.37,Consumer
2015-04-13,,182.45,185.67,176.98,180.91,569760,119767894491448.56,52.62,Semiconductors
2033-01-27,MSFT,75.01,77.06,73.83,74.6,2508417,126510485369283.8,22.21,Technology
2025-05-05,GOOGL,675.11,688.69,671.11,684.18,4137659,1600340908512483.5,15.75,Consumer
2031-10-30,TSLA,803.37,824.98,795.68,808.63,6007350,212070790085720.12,40.0,Semiconductors
2032-09-29,MSFT,82.47,61.72,80.98,83.58,6089071,123217568515417.62,33.68,Semiconductors
09/19/2029,TSLA,389.26,401.93,378.28,391.68,2331235,885367017528938.1,16.63,Technology
2033-12-13,GOOGL ,3002.33,3025.6,2891.01,2971.63,6595236,7654535823914552.0,50.8,Consumer
2018-10-26,AAPL,97.1,99.98,,97.09,5116048,288223790430463.0,22.23,Technology
2023-11-27,NFLX,244.71,248.94,243.68,246.34,1011081,271141854737541.8,,Semiconductors
2035-02-06,TSLA,2173.06,2249.79,2169.29,2184.74,4315623,3113377831643104.5,29.06,Consumer
2032-07-29,MSFT,96.59,99.05,95.8,96.27,1299573,116477846072033.16,35.33,Technology
2039-12-31,NVDA,5620.58,5776.14,5488.3,5551.69,3974572,8093893468929495.0,25.43,Technology
08/21/2031,AAPL,142.76,145.61,138.67,143.31,1936969,401492635747238.25,24.71,Consumer
2016-06-11,AAPL,158.5,164.84,154.55,160.3,1318221,226513020478118.47,,Technology
2038-12-25,INTC,5148.6,5221.82,4990.6,5127.22,7152448,1299730724869153.5,30.76,Consumer
2039-07-11,NFLX,3831.97,3927.03,3745.34,3847.5,1507390,1.0704017624783186e+16,15.88,Consumer
2025-01-08,NFLX,161.25,167.25,160.05,1996.26,1025303,214772801843543.84,22.28,Semiconductors
2032-02-21,MSFT,132.87,133.83,,131.01,445907,279351745565281.5,46.08,Consumer
2031-09-15,NFLX,1567.61,1018.67,988.69,1004.49,1116044,1398916371730521.8,,Consumer
2035-10-15,GOOGL,4688.43,4707.21,4579.59,4643.56,550504,1625959329014055.8,46.07,Consumer
2022-07-26,AAPL,250.08,254.32,245.14,247.58,757642,719367883444185.5,49.17,Technology
2035-04-02,TSLA,2589.68,2662.51,2554.94,2600.14,7326682,6510934396306142.0,49.27,Consumer
2031-01-15,NVDA,903.64,910.5,894.03,907.14,4691886,372891421260169.4,24.93,Consumer
2028-09-11,NFLX,383.65,391.76,373.88,385.83,10912614,265479071883721.2,57.11,Consumer
2038-02-10,NFLX,1941.79,1995.13,1930.64,1968.09,9193923,4776708611455110.0,21.22,Semiconductors
2023-08-20,NVDA,1078.27,1102.53,1059.51,,5212455,387091920431700.7,45.78,Technology
2016-05-23,GOOGL,219.14,220.87,213.17,216.13,10007584,145559368850122.1,16.73,Consumer
2029-10-19,NVDA,917.26,931.74,903.01,926.54,1123005,548239937190928.4,25.73,Semiconductors
2018-04-01,AAPL,78.14,79.76,77.67,77.76,12362266,54148772059659.64,41.2,Consumer
2015-01-29,AMD,102.6,104.17,100.56,102.66,8146407,43417655267890.57,51.8,Consumer
2033-04-02,AAPL,139.76,143.18,138.97,error,9289292,295026544610659.75,N/A,Consumer
2016-10-20,NFLX,90.98,92.19,90.38,91.89,1157817,187851232923204.16,41.57,Semiconductors
2038-07-24,NVDA,5212.64,5309.24,5109.58,5166.43,2578085.0,7281578390902837.0,23.88,Consumer
2034-05-31,GOOGL,2981.31,2985.58,2948.85,2957.19,2109566,8187583211464490.0,49.0,Technology
2016-08-12,AMZN,63.22,64.75,62.56,64.04,,167495623386378.8,,Consumer
2015-07-16,MSFT,182.16,115.63,111.51,114.2,1727743,278405634415399.12,14.99,Technology
2020-05-29,INTC,448.3,456.46,440.42,447.13,,806218803168062.4,25.71,Consumer
2028-08-27,NVDA,611.9,628.34,583.26,600.61,6475968,475280138135089.44,30.46,Technology
2031-04-25,AMD,721.53,477.57,694.55,710.07,11482544,1442873808674103.0,11.54,Semiconductors
2029-05-22,GOOGL,2010.59,2061.37,1965.15,2004.07,882216,4571470051233498.0,58.69,Semiconductors
2033-01-03,NFLX,1828.56,1843.71,1793.36,1828.36,2733131,3205839770643255.0,N/A,Semiconductors
2023-05-24,MSFT,89.44,91.16,88.11,89.02,8591931,77516078939186.53,,Semiconductors
2018-05-02,INTC,407.76,412.89,,406.43,1136929,121732761653271.72,49.05,Semiconductors
2034-08-08,NVDA,3493.3,2248.54,3365.61,3467.21,4073971,2395526848296947.5,41.24,Semiconductors
2015-04-05,AMD,97.89,99.28,96.66,98.3,1768156,142974042393089.53,21.04,Consumer
2019-01-01,GOOGL,81.1,84.01,79.88,82.54,4235008.0,77904430236596.7,24.26,Semiconductors
2026-11-04,AAPL,388.85,396.41,379.78,392.11,,362887722177890.25,31.98,Consumer
2027-08-06,NVDA,782.37,783.28,771.48,779.88,4641643,2131463437224639.2,49.66,Consumer
2028-07-25,AMZN,122.97,126.2,119.68,123.29,19428460,218875468793722.28,22.46,Technology
2027-12-07,NVDA,744.64,771.83,737.43,750.33,7756011,89566801626468.03,,Consumer
2035-05-21,GOOGL,3628.93,3655.69,3539.79,3611.36,2377054,6688153278532909.0,38.91,Semiconductors
2018-11-09,TSLA,,87.9,85.41,86.34,20075028,249889986597371.06,37.26,Technology
2018-07-04,TSLA,,84.11,80.75,82.12,3000854,166581416442471.47,33.81,Technology
2019-02-21,AMZN,85.85,88.29,82.31,84.53,4869593,59433878552908.48,30.2,Semiconductors
2020-07-03,TSLA,142.35,145.55,139.94,142.19,3518465,332976187886471.25,14.6,Semiconductors
2037-10-25,GOOGL,6831.93,7028.32,6569.63,6710.73,3379507,1.3093568992405126e+16,10.32,Semiconductors
2041-03-05,NFLX,4405.36,4491.74,4240.58,4341.63,4094952,1.1477081198673442e+16,58.46,Semiconductors
2019-01-05,META,147.49,152.02,146.43,147.78,802511,10080042424759.29,30.32,Technology
2035-06-10,META,331.93,335.68,328.67,331.69,1265505.0,225693425557871.34,32.63,Technology
2030-01-16,GOOGL ,2581.29,2628.74,2528.71,2601.06,11080984,5593695478394910.0,26.73,Semiconductors
2020-11-04,AMZN,,81.09,77.04,79.26,8901453,120544191083988.67,24.37,Technology
2039-12-12,MSFT,25.26,25.71,24.77,25.65,21146577,20775018125284.01,35.94,Consumer
2018-01-22,META,233.39,234.78,227.97,229.59,6629769,308486138966066.9,14.95,Consumer
2015-02-19,NVDA,,284.06,279.22,282.62,3650068,12624103091160.29,47.52,Consumer
2039-11-12,AMZN,58.35,59.38,55.7,57.35,3634765,150733141105788.44,26.89,Technology
2039-07-02,AAPL,80.75,82.83,,81.01,,117239418623874.88,23.62,Semiconductors
2026-08-20,MSFT,68.42,68.79,66.62,,1369526,176018588340904.0,58.72,Technology
2032-10-13,AMD,1070.05,1084.47,1041.17,1050.6,7460294,1340092943122050.5,21.1,Consumer
2035-12-30,NVDA,1619.56,,1602.88,1633.64,1364989,2863359011487853.5,16.16,Consumer
2025-08-23,AAPL,289.18,290.74,287.34,287.68,2994903,290046496057431.56,18.0,Semiconductors
2025-09-29,NFLX,368.7,376.69,361.84,370.56,4673998,219230184387554.16,12.6,Consumer
2037-10-04,NVDA,,3360.22,3280.03,,1553187,4853309144896871.0,41.71,Technology
2025-08-17,TSLA,369.81,192.89,188.29,191.01,4322254,116748332770358.1,39.36,Consumer
2017-12-13,NVDA,175.15,175.52,170.21,174.01,1431356,337740375973210.06,18.57,Semiconductors
2025-01-09,TSLA,223.98,227.72,218.52,221.88,6489138.0,43650403547912.77,21.7,Technology
